movie_id,movie_name,year,decade,certificate,runtime_in_minutes,genre,rating,description,director,director_id,star,star_id,votes,gross_in_dollars
tt6723592,Tenet,2020,2020s,PG-13,150,Action,7.3,"Armed with only one word, Tenet, and fighting for the survival of the entire world, a Protagonist journeys through a twilight world of international espionage on a mission that will unfold in something beyond real time.",Christopher Nolan,/name/nm0634240/,"John David Washington, Robert Pattinson, Elizabeth Debicki, Juhan Ulfsak","/name/nm0913475/,/name/nm1500155/,/name/nm4456120/,/name/nm1798449/",516824,58456624
tt0113277,Heat,1995,1990s,R,170,Action,8.3,A group of high-end professional thieves start to feel the heat from the LAPD when they unknowingly leave a clue at their latest heist.,Michael Mann,/name/nm0000520/,"Al Pacino, Robert De Niro, Val Kilmer, Jon Voight","/name/nm0000199/,/name/nm0000134/,/name/nm0000174/,/name/nm0000685/",662373,67436818
tt6334354,The Suicide Squad,2021,2020s,R,132,Action,7.2,"Supervillains Harley Quinn, Bloodsport, Peacemaker, and a collection of nutty cons at Belle Reve prison join the super-secret, super-shady Task Force X as they are dropped off at the remote, enemy-infused island of Corto Maltese.",James Gunn,/name/nm0348181/,"Margot Robbie, Idris Elba, John Cena, Joel Kinnaman","/name/nm3053338/,/name/nm0252961/,/name/nm1078479/,/name/nm1172478/",359784,55817425
tt0096446,Willow,1988,1980s,PG,126,Action,7.2,A young farmer is chosen to undertake a perilous journey in order to protect a special baby from an evil queen.,Ron Howard,/name/nm0000165/,"Val Kilmer, Joanne Whalley, Warwick Davis, Jean Marsh","/name/nm0000174/,/name/nm0000695/,/name/nm0001116/,/name/nm0550577/",125340,57269863
tt1469304,Baywatch,2017,2010s,R,116,Action,5.5,"Devoted lifeguard Mitch Buchannon butts heads with a brash new recruit, as they uncover a criminal plot that threatens the future of the bay.",Seth Gordon,/name/nm1164861/,"Dwayne Johnson, Zac Efron, Alexandra Daddario, Priyanka Chopra Jonas","/name/nm0425005/,/name/nm1374980/,/name/nm1275259/,/name/nm1231899/",190473,58060186
tt0119116,The Fifth Element,1997,1990s,PG-13,126,Action,7.6,"In the colorful future, a cab driver unwittingly becomes the central figure in the search for a legendary cosmic weapon to keep Evil and Mr. Zorg at bay.",Luc Besson,/name/nm0000108/,"Bruce Willis, Milla Jovovich, Gary Oldman, Ian Holm","/name/nm0000246/,/name/nm0000170/,/name/nm0000198/,/name/nm0000453/",479782,63540020
tt0472043,Apocalypto,2006,2000s,R,139,Action,7.8,"As the Mayan kingdom faces its decline, a young man is taken on a perilous journey to a world ruled by fear and oppression.",Mel Gibson,/name/nm0000154/,"Gerardo Taracena, Raoul Max Trujillo, Dalia Hernández, Rudy Youngblood","/name/nm0850162/,/name/nm0874232/,/name/nm2199664/,/name/nm2199632/",316817,50866635
tt0093870,RoboCop,1987,1980s,R,102,Action,7.6,"In a dystopic and crime-ridden Detroit, a terminally wounded cop returns to the force as a powerful cyborg haunted by submerged memories.",Paul Verhoeven,/name/nm0000682/,"Peter Weller, Nancy Allen, Dan O'Herlihy, Ronny Cox","/name/nm0000693/,/name/nm0000262/,/name/nm0641397/,/name/nm0001074/",263559,53424681
tt0266697,Kill Bill: Vol. 1,2003,2000s,R,111,Action,8.2,"After awakening from a four-year coma, a former assassin wreaks vengeance on the team of assassins who betrayed her.",Quentin Tarantino,/name/nm0000233/,"Uma Thurman, David Carradine, Daryl Hannah, Michael Madsen","/name/nm0000235/,/name/nm0001016/,/name/nm0000435/,/name/nm0000514/",1125303,70099045
tt0424095,Flushed Away,2006,2000s,PG,85,Action,6.6,"The story of an uptown rat that gets flushed down the toilet from his penthouse apartment, ending in the sewers of London, where he has to learn a whole new and different way of life.","David Bowers, Sam Fell",/name/nm0101047/,"Hugh Jackman, Kate Winslet, Ian McKellen, Jean Reno","/name/nm0271402/,/name/nm0413168/,/name/nm0000701/,/name/nm0005212/,/name/nm0000606/",129560,64665672
tt0112442,Bad Boys,1995,1990s,R,119,Action,6.8,Two hip detectives protect a witness to a murder while investigating a case of stolen heroin from the evidence storage room from their police precinct.,Michael Bay,/name/nm0000881/,"Will Smith, Martin Lawrence, Lisa Boyle, Michael Taliferro","/name/nm0000226/,/name/nm0001454/,/name/nm0102288/,/name/nm0848075/",270812,65807024
tt0058150,Goldfinger,1964,1960s,PG,110,Action,7.7,"While investigating a gold magnate's smuggling, James Bond uncovers a plot to contaminate the Fort Knox gold reserve.",Guy Hamilton,/name/nm0357891/,"Sean Connery, Gert Fröbe, Honor Blackman, Shirley Eaton","/name/nm0000125/,/name/nm0002085/,/name/nm0000303/,/name/nm0247881/",193468,51081062
tt6189022,Angel Has Fallen,2019,2010s,R,121,Action,6.4,Mike Banning is framed for the attempted assassination of the President and must evade his own agency and the FBI as he tries to uncover the real threat.,Ric Roman Waugh,/name/nm0006846/,"Gerard Butler, Frederick Schmidt, Danny Huston, Rocci Boy Williams","/name/nm0124930/,/name/nm5520750/,/name/nm0396812/,/name/nm6875258/",100728,69030436
tt0059800,Thunderball,1965,1960s,PG,130,Action,6.9,James Bond heads to the Bahamas to recover two nuclear warheads stolen by S.P.E.C.T.R.E. Agent Emilio Largo in an international extortion scheme.,Terence Young,/name/nm0950109/,"Sean Connery, Claudine Auger, Adolfo Celi, Luciana Paluzzi","/name/nm0000125/,/name/nm0000805/,/name/nm0148041/,/name/nm0658885/",120852,63600000
tt0093773,Predator,1987,1980s,R,107,Action,7.8,A team of commandos on a mission in a Central American jungle find themselves hunted by an extraterrestrial warrior.,John McTiernan,/name/nm0001532/,"Arnold Schwarzenegger, Carl Weathers, Kevin Peter Hall, Elpidia Carrillo","/name/nm0000216/,/name/nm0001835/,/name/nm0001310/,/name/nm0001990/",428940,59735548
tt0120201,Starship Troopers,1997,1990s,R,129,Action,7.3,"Humans in a fascist, militaristic future wage war with giant alien bugs.",Paul Verhoeven,/name/nm0000682/,"Casper Van Dien, Denise Richards, Dina Meyer, Jake Busey","/name/nm0000680/,/name/nm0000612/,/name/nm0000539/,/name/nm0000998/",300663,54814377
tt2334879,White House Down,2013,2010s,PG-13,131,Action,6.3,"While on a tour of the White House with his young daughter, a Capitol policeman springs into action to save his child and protect the president from a heavily armed group of paramilitary invaders.",Roland Emmerich,/name/nm0000386/,"Channing Tatum, Jamie Foxx, Maggie Gyllenhaal, Jason Clarke","/name/nm1475594/,/name/nm0004937/,/name/nm0350454/,/name/nm0164809/",225586,73103784
tt0183790,A Knight's Tale,2001,2000s,PG-13,132,Action,6.9,"After his master dies, a peasant squire, fueled by his desire for food and glory, creates a new identity for himself as a knight.",Brian Helgeland,/name/nm0001338/,"Heath Ledger, Mark Addy, Rufus Sewell, Shannyn Sossamon","/name/nm0005132/,/name/nm0004692/,/name/nm0001722/,/name/nm0815370/",190661,56569702
tt0363547,Dawn of the Dead,2004,2000s,R,101,Action,7.3,"A nurse, a policeman, a young married couple, a salesman and other survivors of a worldwide plague that is producing aggressive, flesh-eating zombies, take refuge in a mega Midwestern shopping mall.",Zack Snyder,/name/nm0811583/,"Sarah Polley, Ving Rhames, Mekhi Phifer, Jake Weber","/name/nm0001631/,/name/nm0000609/,/name/nm0001616/,/name/nm0916617/",259372,59020957
tt6450804,Terminator: Dark Fate,2019,2010s,R,128,Action,6.2,"An augmented human and Sarah Connor must stop an advanced liquid Terminator from hunting down a young girl, whose fate is critical to the human race.",Tim Miller,/name/nm1783265/,"Linda Hamilton, Arnold Schwarzenegger, Mackenzie Davis, Natalia Reyes","/name/nm0000157/,/name/nm0000216/,/name/nm4496875/,/name/nm0721376/",181371,62253077
tt0434409,V for Vendetta,2005,2000s,R,132,Action,8.2,"In a future British dystopian society, a shadowy freedom fighter, known only by the alias of ""V"", plots to overthrow the tyrannical government - with the help of a young woman.",James McTeigue,/name/nm0574625/,"Hugo Weaving, Natalie Portman, Rupert Graves, Stephen Rea","/name/nm0915989/,/name/nm0000204/,/name/nm0001291/,/name/nm0001653/",1129454,70511035
tt4172430,13 Hours,2016,2010s,R,144,Action,7.3,"During an attack on a U.S. compound in Libya, a security team struggles to make sense out of the chaos.",Michael Bay,/name/nm0000881/,"John Krasinski, Pablo Schreiber, James Badge Dale, David Denman","/name/nm1024677/,/name/nm1032567/,/name/nm0197647/,/name/nm0219292/",147124,52853219
tt0320691,Underworld,2003,2000s,R,121,Action,7,"Selene, a vampire warrior, is entrenched in a conflict between vampires and werewolves, while falling in love with Michael, a human who is sought by werewolves for unknown reasons.",Len Wiseman,/name/nm0936482/,"Kate Beckinsale, Scott Speedman, Shane Brolly, Michael Sheen","/name/nm0000295/,/name/nm0005454/,/name/nm0111274/,/name/nm0790688/",274031,51970690
tt1197624,Law Abiding Citizen,2009,2000s,R,109,Action,7.4,A frustrated man decides to take justice into his own hands after a plea bargain sets one of his family's killers free.,F. Gary Gray,/name/nm0336620/,"Gerard Butler, Jamie Foxx, Leslie Bibb, Colm Meaney","/name/nm0124930/,/name/nm0004937/,/name/nm0004753/,/name/nm0000538/",302444,73343413
tt0463985,The Fast and the Furious: Tokyo Drift,2006,2000s,PG-13,104,Action,6,A teenager becomes a major competitor in the world of drift racing after moving in with his father in Tokyo to avoid a jail sentence in America.,Justin Lin,/name/nm0510912/,"Lucas Black, Zachery Ty Bryan, Shad Moss, Damien Marzette","/name/nm0085407/,/name/nm0117022/,/name/nm0510168/,/name/nm2179185/",276811,62514415
tt1365519,Tomb Raider,2018,2010s,PG-13,119,Action,6.3,"Lara Croft (Alicia Vikander), the fiercely independent daughter of a missing adventurer, must push herself beyond her limits when she discovers the island where her father, Lord Richard Croft (Dominic West) disappeared.",Roar Uthaug,/name/nm1012385/,"Alicia Vikander, Dominic West, Walton Goggins, Daniel Wu","/name/nm2539953/,/name/nm0922035/,/name/nm0324658/,/name/nm0943079/",217394,58250803
