movie_id,movie_name,year,certificate,runtime_in_minutes,genre,rating,description,director,director_id,star,star_id,votes,gross_in_dollars
tt0101694,Deceived,1991,PG-13,104,Data/Imdb/Crime,6.1,"A man is murdered when checking authenticity of ancient Egyptian jewelry at a museum. Adrienne finds out after the death of her husband, that he was using a fake name. Are the 2 deaths linked?",Damian Harris,/name/nm0364578/,"Goldie Hawn, John Heard, Damon Redfern, Charles Kassatly","/name/nm0000443/,/name/nm0001334/,/name/nm0714817/,/name/nm0440833/",7661,28738096
tt3467914,Tommy's Honour,2016,PG,112,Data/Imdb/Biography,6.3,"In every generation, a torch passes from father to son. And that timeless dynamic is the beating heart of Tommy's Honour - an intimate, powerfully moving tale of the real-life founders of the modern game of golf.",Jason Connery,/name/nm0001064/,"Benjamin Wainwright, Peter Mullan, Jack Lowden, Peter Ferdinando","/name/nm7027696/,/name/nm0611932/,/name/nm4110963/,/name/nm0272252/",1303,561963
tt0089522,Honeymoon,1985,R,98,Data/Imdb/Thriller,4.6,"Facing deportation, Frenchwoman Cécile turns to a dating service to find an American to marry and stay in the US. However, it soon turns out that her pick, Zack, is not quite who he seems and that he's disturbingly obsessed with her.",Patrick Jamain,/name/nm0416176/,"Nathalie Baye, John Shea, Richard Berry, Marla Lukofsky","/name/nm0000882/,/name/nm0790291/,/name/nm0006939/,/name/nm0525716/",122,110995
tt0893346,Kiss the Bride,2007,R,100,Data/Imdb/Romance,5.6,"Matt is shocked to learn that his ex-boyfriend Ryan is getting married, and he makes plans to rescue him from whatever ""she-devil"" has lured him into this huge mistake.",C. Jay Cox,/name/nm0184947/,"Tori Spelling, Philipp Karner, James O'Shea, Joanna Cassidy","/name/nm0001760/,/name/nm1239485/,/name/nm0642650/,/name/nm0001026/",1652,31937
tt0282120,The Wild Thornberrys,2002,PG,85,Data/Imdb/Adventure,5.6,"Eliza (Lacey Chabert) and Debbie (Danielle Harris) are two sisters who don't always get along. But their relationship is put to the test when Debbie's life is in danger, and Eliza might have to give up her power to talk to animals.","Cathy Malkasian, Jeff McGrath",/name/nm0539782/,"Tim Curry, Rupert Everett, Flea, Lacey Chabert","/name/nm0569814/,/name/nm0000347/,/name/nm0000391/,/name/nm0281359/,/name/nm0000327/",14898,40108697
tt0280707,Gosford Park,2001,R,137,Data/Imdb/Mystery,7.2,"Set in the 1930s, this movie brings a group of pretentious rich and famous together for a weekend of relaxation at a hunting resort. But when a murder occurs, each one of these interesting characters becomes a suspect.",Robert Altman,/name/nm0000265/,"Maggie Smith, Ryan Phillippe, Michael Gambon, Kristin Scott Thomas","/name/nm0001749/,/name/nm0000202/,/name/nm0002091/,/name/nm0000218/",89582,41308615
tt0106452,Body Snatchers,1993,R,87,Data/Imdb/Horror,6,A teenage girl and her father discover alien clones are replacing humans on a remote U.S. military base in Alabama.,Abel Ferrara,/name/nm0001206/,"Gabrielle Anwar, Meg Tilly, Terry Kinney, Reilly Murphy","/name/nm0000270/,/name/nm0000672/,/name/nm0455767/,/name/nm0614641/",20051,428868
tt0455805,Then She Found Me,2007,R,100,Data/Imdb/Romance,5.9,"April, 39, wants a baby but her husband leaves her. When her adoptive mother dies, she's contacted by her bio mom, a TV talk show host. April starts seeing the divorced dad of one of her students at school.",Helen Hunt,/name/nm0000166/,"Helen Hunt, Colin Firth, Bette Midler, Matthew Broderick","/name/nm0000166/,/name/nm0000147/,/name/nm0000541/,/name/nm0000111/",10037,3735303
tt0111280,Star Trek: Generations,1994,PG,118,Data/Imdb/Action,6.6,"With the help of long presumed dead Captain Kirk, Captain Picard must stop a deranged scientist willing to murder on a planetary scale in order to enter a space matrix.",David Carson,/name/nm0141222/,"Patrick Stewart, William Shatner, Malcolm McDowell, Jonathan Frakes","/name/nm0001772/,/name/nm0000638/,/name/nm0000532/,/name/nm0000408/",83377,75668868
tt0351299,Blind Shaft,2003,Unrated,92,Data/Imdb/Crime,7.5,"Two Chinese coal miners have hit upon the perfect scam: murder one of their fellow mine workers, make the death look like an accident, and extort money from the boss to keep the incident ...                See full summary »",Yang Li,/name/nm1317258/,"Yixiang Li, Baoqiang Wang, Shuangbao Wang, Jing Ai","/name/nm0508566/,/name/nm1316170/,/name/nm1179392/,/name/nm0014415/",2796,33272
