track_id,artists,album_name,track_name,popularity,duration_ms,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,track_genre
2IVsRhKrx8hlQBOWy4qebo,Ricky Montgomery,Montgomery Ricky,Mr Loverman,79,216880,FALSE,0.639,0.526,0,-6.697,1,0.0256,0.245,2.43e-5,0.25,0.488,130.033,3,indie-pop
5Odq8ohlgIbQKMZivbWkEo,Charlie Puth;Jung Kook;BTS,CHARLIE,Left and Right (Feat. Jung Kook of BTS),75,154486,FALSE,0.881,0.592,2,-4.898,1,0.0324,0.619,1.32e-5,0.0901,0.719,101.058,4,dance
4jbmgIyjGoXjY01XxatOx6,Katy Perry;Juicy J,PRISM,Dark Horse,78,215672,FALSE,0.647,0.585,6,-6.123,1,0.0512,0.00314,0,0.165,0.353,131.934,4,dance
37EJtTS7jT5WUyXGZzrwnI,Everclear,Sparkle And Fade,Santa Monica,71,191506,FALSE,0.491,0.942,7,-5.333,1,0.132,0.156,0,0.367,0.387,100.446,4,grunge
1roCmBlcpV7LzsmB7pmCyt,Alec Benjamin;Alessia Cara,Let Me Down Slowly (feat. Alessia Cara),Let Me Down Slowly (feat. Alessia Cara),71,169174,FALSE,0.655,0.569,1,-5.018,0,0.0349,0.716,7.4e-6,0.135,0.44,150.267,4,electro
114xlNyBqwTIkOdrU8LajN,Pablo Alborán;David Bisbal;Antonio Carmona;Jesse & Joy;Juanes;Malú;Vanesa Martín;India Martinez;Antonio Orozco;Niña Pastori;Laura Pausini;Abel Pintos;Rozalén;Shakira;Tommy Torres;Manuel Carrasco;Pablo López,+ Es + (El Concierto / En Directo En El Estadio Vicente Calderón / 2017),"Y, ¿Si Fuera Ella? - + Es +",72,250000,FALSE,0.348,0.536,5,-5.76,1,0.0313,0.34,0,0.209,0.199,150.586,4,spanish
1xLs8Mu1QEVbGCpyHQ2r2U,Dominic Fike,What Could Possibly Go Wrong,Why,71,139906,TRUE,0.684,0.856,6,-2.676,1,0.0411,0.342,0.00728,0.109,0.343,117.027,4,alt-rock
0yB4jrSwN0bFtFRDR5vyMj,EXO,LOVE SHOT– The 5th Album Repackage,Love Shot,74,200306,FALSE,0.689,0.678,5,-4.287,0,0.119,0.0702,0,0.0889,0.335,145.883,4,k-pop
4jvjzW7Hm0yK4LvvE0Paz9,Lil Peep;XXXTENTACION,"Come Over When You're Sober, Pt. 2",Falling Down - Bonus Track,81,196400,TRUE,0.669,0.574,4,-6.442,0,0.0286,0.0175,0.00294,0.146,0.273,120.013,4,emo
7j31rVgGX9Q2blT92VBEA0,My Chemical Romance,The Black Parade,Teenagers,81,161920,FALSE,0.463,0.857,4,-3.063,1,0.0632,0.0506,0,0.184,0.856,111.647,4,emo
658I1uDnmLSiltFCf98AWE,XXXTENTACION;Ski Mask The Slump God,Revenge,RIP Roach,76,169978,TRUE,0.727,0.62,8,-6.443,1,0.306,0.398,0,0.0926,0.555,105.003,4,emo
5uuJruktM9fMdN9Va0DUMl,Wild Cherry,Wild Cherry,Play That Funky Music,71,300000,FALSE,0.814,0.672,9,-12.068,1,0.0619,0.0435,0,0.061,0.933,109.394,4,disco
2Sh4sAOfnSHEVKFyysxzat,Shakira;Rihanna,Shakira. (Expanded Edition),Can't Remember to Forget You (feat. Rihanna),75,206866,FALSE,0.694,0.81,11,-3.556,0,0.0661,0.122,0,0.141,0.824,137.968,4,latin
7wkgkIBYBH3xV2ob9Zmh87,Fatboibari;Shiloh,Moonlight Shawty,Moonlight Shawty,71,167994,TRUE,0.671,0.184,5,-15.541,1,0.123,0.835,0.0011,0.0794,0.128,106.04,4,chill
1H5IfYyIIAlgDX8zguUzns,Elvis Presley,From Elvis in Memphis,Suspicious Minds,76,261279,FALSE,0.487,0.382,7,-10.889,1,0.0309,0.0422,4.74e-6,0.411,0.714,116.557,4,rock-n-roll
6lKRMylSZMtA7EqPl0pcdI,MARINA,The Family Jewels,Are You Satisfied?,71,198960,FALSE,0.669,0.712,0,-4.992,1,0.0412,0.303,0,0.0755,0.843,124.009,4,alternative
10nyNJ6zNy2YVYLrcwLccB,Radiohead,OK Computer,No Surprises,82,229120,FALSE,0.255,0.393,5,-10.654,1,0.0278,0.0577,0.00361,0.113,0.118,76.426,4,alt-rock
4INDiWSKvqSKDEu7mh8HFz,The Notorious B.I.G.;Mase;Diddy,Life After Death (2014 Remastered Edition),Mo Money Mo Problems (feat. Puff Daddy & Mase) - 2014 Remaster,75,257399,TRUE,0.845,0.884,6,-4.506,0,0.0759,0.0128,2.1e-6,0.203,0.904,104.536,4,hardcore
